BehaviorSpace results (NetLogo 5.2.0),,,,,,,,,,,,,,,
marcs_kill2 (1).nlogo,,,,,,,,,,,,,,,
a1,,,,,,,,,,,,,,,
04/17/2559 14:46:42:532 +0700,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,
-20,20,-20,20,,,,,,,,,,,,
[run number],adversaries-rate,number-workers,workers-probability,adversaries-type,problem-label,area.x,area.y,label-level,data-fusion,reputation-algorithm,use-cut-worker-by-penalty?,cut-workers-per-round,show-penalty?,[step],sum-correctness / floor(ticks / update-ticks)
2,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
4,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
3,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
5,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
6,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
7,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
1,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
8,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
9,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
10,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
11,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
12,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
13,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
14,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
15,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
16,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
17,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
18,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
20,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
21,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
19,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
22,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
23,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
24,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
26,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
25,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
27,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
28,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
29,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
30,0,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
31,1,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
32,1,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
33,1,100,100,"""1. fixed : normal""","""normal""",1,1,"""2 Levels""","""EM Algorithm""","""None""",false,0,false,1441,100
