"BehaviorSpace results (NetLogo 5.2.0)"
"marcs_dday (1).nlogo"
"emhard2precision"
"04/20/2559 14:50:59:637 +0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","adversaries-rate","start-cut","number-workers","workers-probability","adversaries-type","problem-label","area.x","area.y","label-level","data-fusion","reputation-algorithm","use-cut-worker-by-penalty?","cut-workers-per-round","show-penalty?","max-count-send","[step]","length filter [? != 0] [workers-type] of workers with [color = red] / count workers with [color = red]"
"4","4","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.13333333333333333"
"3","3","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.06666666666666667"
"2","2","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.13333333333333333"
"1","1","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0"
"5","5","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.13333333333333333"
"7","7","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.13333333333333333"
"6","6","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.2"
"8","8","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.06666666666666667"
"9","9","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.26666666666666666"
"10","10","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.3333333333333333"
"11","11","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.2"
"12","12","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.2"
"14","14","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.2"
"13","13","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.4"
"15","15","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.2"
"16","16","5","100","100","""1. fixed : flood""","""random-seed""","1","1","""2 Levels""","""EM Algorithm""","""Hard Penalty""","true","1","false","1","1441","0.3333333333333333"
